ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_M_RESULTANT_Joint2,886.1767553132637,432.0842562332318,-960.03355275086,-334.4440030264114,234.1381680304134,-208.39467932680324,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Fx_Joint3,354.4178390000002,-796.4225562666668,-488.8842540599999,-66.52968472004812,106.60436154347848,-201.06952763820556,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MIN_Fx_Joint3,-298.9200890000003,-702.3897389333332,-218.83643032666666,48.132967066048096,-92.4799327214497,169.69828209537525,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, 3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, -6.0, -7.0, -8.0, 8.0]"
MAX_Fy_Joint3,7.161800692226596,14.84157534286873,-391.65672427522986,-227.370065304627,-0.15409380517399462,-2.1138901579526106,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MIN_Fy_Joint3,45.775939000000015,-920.4332562666668,-149.90458739333346,171.12920885730733,24.449463345878414,-27.498164643938818,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fz_Joint3,188.18982499999998,-336.36881226666657,167.62325034000014,183.1755305529427,49.49635579962081,-105.01882470254054,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MIN_Fz_Joint3,-279.29253108092473,-736.8393883790276,-772.2500071418967,-225.9902160307703,-59.55672867101757,161.73135624542664,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint3,-226.1391890000001,-869.1103589333334,-72.75468365999984,192.00477959655794,-68.31063387004964,130.1775318461181,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, -8.0]"
MIN_Mx_Joint3,-263.6631977475914,-390.5543348580736,-572.32223827523,-229.42444911097562,-56.67837181776347,157.78864018289983,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, 3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, 8.0]"
MAX_My_Joint3,354.41783900000013,-866.7355362666667,-224.0545073933333,127.15604603469944,106.62133049547846,-201.18178225765195,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MIN_My_Joint3,-298.9200890000002,-550.5965958666668,-337.5844303266668,-89.32261129787076,-92.88463183240087,167.5589935567856,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Mz_Joint3,-298.9200890000002,-800.4748362666667,-563.03417406,-96.3771859412274,-92.81849414957289,169.80478688948085,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, 3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MIN_Mz_Joint3,354.41783900000013,-840.2353589333334,-72.75468365999996,184.81788945640906,106.12629117088326,-201.18187259454797,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, 5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MAX_F_RESULTANT_Joint3,-291.53253108092474,-736.8393883790276,-772.2500071418967,-225.9904199955703,-62.74847777821758,166.74964551262667,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_M_RESULTANT_Joint3,354.4178390000002,-371.74429853333345,-563.0341740599999,-225.27466379119528,106.17545990171125,-198.78609899952318,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, 3.141592653589793, 3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_Fx_Joint4,188.66670309193387,110.531353504182,346.15857979627606,-91.35819420060736,26.13935913404312,35.258512278025336,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MIN_Fx_Joint4,-223.55100309193384,153.68073497084868,412.72975996830337,-106.08963668527905,-32.090669912634624,-42.088652615213945,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_Fy_Joint4,176.42670309193383,496.3422740375155,419.832742231034,-177.53425632736156,23.461483363718056,31.634855191212782,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fy_Joint4,-118.61934999999997,-144.4860908400001,127.39901226666665,8.83921231668089,-20.317002161650866,-24.3202893286748,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MAX_Fz_Joint4,-11.654513999999942,89.96329689333344,534.5815562666668,-131.455695340213,-3.8090896296765973,-4.628634157416387,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fz_Joint4,16.22241883713293,266.6327761708486,-48.249036246634006,-30.96133780010871,4.3875972663538025,3.8918410691061127,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint4,-76.09594999999996,-144.4860908400001,127.39901226666665,8.850075986480892,-11.491772136917524,-14.274730387274788,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, 8.0]"
MIN_Mx_Joint4,146.14330309193383,496.3422740375154,419.832742231034,-177.54491603236158,17.757564071784714,24.781045357012786,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, -8.0]"
MAX_My_Joint4,166.88461400000014,12.813393160000086,409.58898586666675,-83.61444579955663,30.723294956743167,36.40444026626283,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MIN_My_Joint4,-201.7689140000001,362.95288356,169.05076853333347,-92.8913000334989,-36.28750341091475,-42.85622622424922,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_Mz_Joint4,166.88461400000017,137.50313982666674,337.1780658666667,-75.34961613088159,30.61175780502476,36.42119123126283,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MIN_Mz_Joint4,-201.7689140000001,89.96329689333345,516.4315562666666,-127.89550297321297,-35.853377787009954,-43.301878831016424,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 3.141592653589793, 3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MAX_F_RESULTANT_Joint4,188.6667030919338,496.3422740375154,419.832742231034,-177.53405236256157,26.582794096518047,34.82660429841279,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_M_RESULTANT_Joint4,188.6667030919338,496.3422740375154,419.832742231034,-177.53405236256157,26.582794096518047,34.82660429841279,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Fx_Joint5,130.3780440000001,-189.22919280000005,-35.35451856000002,32.59646133380362,16.890413466075056,33.396955716704745,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MIN_Fx_Joint5,-111.35024400000015,-106.50939119999988,9.275401439999978,10.267742809082794,-14.37222332983698,-28.451966742256918,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Fy_Joint5,25.790699999999994,101.4998472,-205.23304656000002,39.4626006956068,3.29329690244816,6.348332220555118,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fy_Joint5,18.33164399999996,-287.40003120000006,-94.10407056000005,61.76750143145243,2.539548776977756,4.628245806675911,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fz_Joint5,25.790699999999962,-20.378191199999982,97.51634544000007,-22.96900709806442,3.292470049545436,6.34949348062551,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fz_Joint5,-76.16083137302368,-203.62428491435597,-354.1401053273894,116.97235131783208,-9.540186977506199,-19.264211910177593,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint5,-54.77443137302369,-203.624284914356,-354.1401053273894,116.97252978703209,-6.7474065087062005,-13.810583018977596,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, -8.0]"
MIN_Mx_Joint5,38.03069999999995,-20.378191199999982,97.51634544000007,-22.96922597486442,4.777735675145435,9.750184298225507,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, -3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, 8.0, 8.0]"
MAX_My_Joint5,130.3780440000001,-252.67731120000002,-168.25399055999998,76.1226885320444,16.891520770577777,33.19991787462954,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, 3.141592653589793, 3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, 7.0, 8.0, -8.0]"
MIN_My_Joint5,-111.35024400000009,-165.52199280000002,-131.05451856000005,53.52293244354922,-14.465409154648174,-28.546341724722506,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_Mz_Joint5,130.37804400000007,6.937447200000001,-263.95399055999997,66.49246040388358,16.79807426279057,33.39706655760074,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 3.141592653589793, 3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MIN_Mz_Joint5,-111.35024400000009,-199.1291928,-35.35451856000003,33.857089154149214,-14.465128703048174,-28.546362228722504,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MAX_F_RESULTANT_Joint5,-88.40083137302369,-203.62428491435597,-354.1401053273894,116.97214735303208,-11.176232084706202,-22.385522642977595,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
MAX_M_RESULTANT_Joint5,-88.40083137302369,-203.62428491435597,-354.1401053273894,116.97214735303208,-11.176232084706202,-22.385522642977595,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
